TIME	INTERVALO	Abertura Valvula
176.000	1.000	19.485867
177.000	1.000	19.218206
178.000	1.000	19.565737
179.000	1.000	19.565737
180.000	1.000	18.743896
181.000	1.000	18.845606
182.000	1.000	19.281424
183.000	1.000	19.281424
184.000	1.000	18.835688
185.000	1.000	18.835688
186.000	1.000	18.414927
187.000	1.000	18.225597
188.000	1.000	18.225597
189.000	1.000	17.982138
190.000	1.000	18.598473
191.000	1.000	18.598473
192.000	1.000	18.598473
193.000	1.000	18.401670
194.000	1.000	18.447542
195.000	1.000	18.447542
196.000	1.000	18.447542
197.000	1.000	18.204069
198.000	1.000	18.445051
199.000	1.000	19.250715
200.000	1.000	19.250715
201.000	1.000	18.893993
202.000	1.000	18.829382
203.000	1.000	18.752300
204.000	1.000	18.752300
205.000	1.000	18.752300
206.000	1.000	18.752300
207.000	1.000	18.752300
208.000	1.000	18.752300
209.000	1.000	18.752300
210.000	1.000	18.526459
211.000	1.000	18.479013
212.000	1.000	18.479013
213.000	1.000	19.291199
214.000	1.000	19.291199
215.000	1.000	19.435179
216.000	1.000	19.435179
217.000	1.000	19.499756
218.000	1.000	18.653381
219.000	1.000	18.785715
220.000	1.000	18.785715
221.000	1.000	18.785715
222.000	1.000	18.761730
223.000	1.000	19.439518
224.000	1.000	18.423283
225.000	1.000	18.423283
226.000	1.000	18.476463
227.000	1.000	18.764591
228.000	1.000	18.764591
229.000	1.000	18.764591
230.000	1.000	18.764591
231.000	1.000	18.764591
232.000	1.000	18.764591
233.000	1.000	18.764591
234.000	1.000	19.283342
235.000	1.000	19.024515
236.000	1.000	18.732094
237.000	1.000	18.732094
238.000	1.000	18.050301
239.000	1.000	18.050301
240.000	1.000	19.064880
241.000	1.000	19.064880
242.000	1.000	18.377293
243.000	1.000	18.377293
244.000	1.000	18.582153
245.000	1.000	18.582153
246.000	1.000	18.507301
247.000	1.000	18.637466
248.000	1.000	18.519783
249.000	1.000	18.519783
250.000	1.000	19.042540
251.000	1.000	18.933619
252.000	1.000	19.037188
253.000	1.000	19.037188
254.000	1.000	18.989586
255.000	1.000	18.989586
256.000	1.000	18.989586
257.000	1.000	18.767525
258.000	1.000	18.767525
259.000	1.000	19.005703
260.000	1.000	19.005703
261.000	1.000	18.831217
262.000	1.000	18.831217
263.000	1.000	18.956638
264.000	1.000	18.423140
265.000	1.000	18.423140
266.000	1.000	18.423140
267.000	1.000	18.677532
268.000	1.000	18.918026
269.000	1.000	18.913698
270.000	1.000	18.913698
271.000	1.000	18.913698
272.000	1.000	18.913698
273.000	1.000	18.913698
274.000	1.000	18.913698
275.000	1.000	18.913698
276.000	1.000	18.913698
277.000	1.000	18.913698
278.000	1.000	18.913698
279.000	1.000	18.913698
280.000	1.000	18.913698
281.000	1.000	18.913698
282.000	1.000	18.913698
283.000	1.000	18.905949
284.000	1.000	18.223785
285.000	1.000	18.858004
286.000	1.000	18.858004
287.000	1.000	18.858004
288.000	1.000	18.880844
289.000	1.000	18.705130
290.000	1.000	18.705130
291.000	1.000	18.705130
292.000	1.000	18.871033
293.000	1.000	18.867039
294.000	1.000	18.796707
295.000	1.000	18.796707
296.000	1.000	18.864595
297.000	1.000	18.862045
298.000	1.000	18.861616
299.000	1.000	18.861616
300.000	1.000	18.861616
301.000	1.000	18.861616
302.000	1.000	18.861616
303.000	1.000	18.861616
304.000	1.000	18.861616
305.000	1.000	18.861616
306.000	1.000	100.000000
307.000	1.000	100.000000
308.000	1.000	100.000000
309.000	1.000	100.000000
310.000	1.000	100.000000
311.000	1.000	100.000000
312.000	1.000	100.000000
313.000	1.000	100.000000
314.000	1.000	100.000000
315.000	1.000	100.000000
316.000	1.000	100.000000
317.000	1.000	100.000000
318.000	1.000	100.000000
319.000	1.000	100.000000
320.000	1.000	100.000000
321.000	1.000	100.000000
322.000	1.000	100.000000
323.000	1.000	100.000000
324.000	1.000	100.000000
325.000	1.000	100.000000
326.000	1.000	100.000000
327.000	1.000	100.000000
328.000	1.000	100.000000
329.000	1.000	100.000000
330.000	1.000	100.000000
331.000	1.000	100.000000
332.000	1.000	100.000000
333.000	1.000	100.000000
334.000	1.000	100.000000
335.000	1.000	99.833725
336.000	1.000	99.833725
337.000	1.000	99.833725
338.000	1.000	100.000000
339.000	1.000	100.000000
340.000	1.000	100.000000
