TIME	INTERVALO	Temp Tanque 2
324.000	1.000	24.947067
325.000	1.000	24.945795
326.000	1.000	24.910772
327.000	1.000	24.914495
328.000	1.000	24.914495
329.000	1.000	24.914495
330.000	1.000	24.917980
331.000	1.000	24.912983
332.000	1.000	24.916780
333.000	1.000	24.916780
334.000	1.000	24.919785
335.000	1.000	24.920137
336.000	1.000	24.925097
337.000	1.000	24.925097
338.000	1.000	24.913134
339.000	1.000	24.913134
340.000	1.000	24.910479
341.000	1.000	24.904083
342.000	1.000	24.904083
343.000	1.000	24.907457
344.000	1.000	24.906219
345.000	1.000	24.906219
346.000	1.000	24.904617
347.000	1.000	24.905354
348.000	1.000	24.900837
349.000	1.000	24.900837
350.000	1.000	24.920250
351.000	1.000	24.920250
352.000	1.000	24.928745
353.000	1.000	24.931328
354.000	1.000	24.931328
355.000	1.000	24.927603
356.000	1.000	24.930532
357.000	1.000	24.930532
358.000	1.000	24.931198
359.000	1.000	24.926773
360.000	1.000	24.928194
361.000	1.000	24.928194
362.000	1.000	24.951439
363.000	1.000	24.951439
364.000	1.000	24.950352
365.000	1.000	24.949503
366.000	1.000	24.949503
367.000	1.000	24.948029
368.000	1.000	24.953688
369.000	1.000	24.952988
370.000	1.000	24.952988
371.000	1.000	24.954092
372.000	1.000	24.957521
373.000	1.000	24.957521
374.000	1.000	24.957521
375.000	1.000	24.949724
376.000	1.000	24.936251
377.000	1.000	24.941704
378.000	1.000	24.941704
379.000	1.000	24.941227
380.000	1.000	24.951052
381.000	1.000	24.956249
382.000	1.000	24.956249
383.000	1.000	24.958902
384.000	1.000	24.964455
385.000	1.000	24.967403
386.000	1.000	24.967403
387.000	1.000	24.967403
388.000	1.000	24.965376
389.000	1.000	24.969891
390.000	1.000	24.972656
391.000	1.000	24.972656
392.000	1.000	24.981817
393.000	1.000	24.980932
394.000	1.000	24.980932
395.000	1.000	24.993652
396.000	1.000	24.999165
397.000	1.000	24.999165
398.000	1.000	25.001686
399.000	1.000	25.001686
400.000	1.000	25.004065
401.000	1.000	25.007607
402.000	1.000	25.013393
403.000	1.000	25.013393
404.000	1.000	25.015533
405.000	1.000	25.026871
406.000	1.000	25.035234
407.000	1.000	25.035234
408.000	1.000	25.037542
409.000	1.000	25.037542
410.000	1.000	25.040085
411.000	1.000	25.040085
412.000	1.000	25.064764
413.000	1.000	25.070662
414.000	1.000	25.071693
415.000	1.000	25.071693
416.000	1.000	25.074791
417.000	1.000	25.082584
418.000	1.000	25.090036
419.000	1.000	25.090036
420.000	1.000	25.091839
421.000	1.000	25.091839
422.000	1.000	25.102312
423.000	1.000	25.127876
424.000	1.000	25.127876
425.000	1.000	25.135172
426.000	1.000	25.143301
427.000	1.000	25.152149
428.000	1.000	25.152149
429.000	1.000	25.159481
430.000	1.000	25.161711
431.000	1.000	25.161711
432.000	1.000	25.161711
433.000	1.000	25.162802
434.000	1.000	25.174744
435.000	1.000	25.193428
436.000	1.000	25.193428
437.000	1.000	25.200411
438.000	1.000	25.206106
439.000	1.000	25.214418
440.000	1.000	25.214418
441.000	1.000	25.226896
442.000	1.000	25.229717
443.000	1.000	25.230492
444.000	1.000	25.230492
445.000	1.000	25.230492
446.000	1.000	25.230360
447.000	1.000	25.230602
448.000	1.000	25.230602
449.000	1.000	25.249403
450.000	1.000	25.245333
451.000	1.000	25.240374
452.000	1.000	25.240374
453.000	1.000	25.246529
454.000	1.000	25.253605
455.000	1.000	25.262398
456.000	1.000	25.262398
457.000	1.000	25.262398
458.000	1.000	25.272385
459.000	1.000	25.279554
460.000	1.000	25.275459
461.000	1.000	25.275459
462.000	1.000	25.291718
463.000	1.000	25.294369
464.000	1.000	25.294369
465.000	1.000	25.301537
466.000	1.000	25.308777
467.000	1.000	25.308777
468.000	1.000	25.311338
469.000	1.000	25.311338
470.000	1.000	25.315744
471.000	1.000	25.313259
472.000	1.000	25.323414
473.000	1.000	25.323414
474.000	1.000	25.324116
475.000	1.000	25.330696
476.000	1.000	25.336536
477.000	1.000	25.336536
478.000	1.000	25.338211
479.000	1.000	25.338211
480.000	1.000	25.339613
481.000	1.000	25.339613
482.000	1.000	25.344532
483.000	1.000	25.348749
484.000	1.000	25.355417
485.000	1.000	25.355417
486.000	1.000	25.355396
487.000	1.000	25.365015
488.000	1.000	25.373932
489.000	1.000	25.373932
490.000	1.000	25.375336
491.000	1.000	25.375336
492.000	1.000	25.386446
493.000	1.000	25.390148
494.000	1.000	25.390148
495.000	1.000	25.392103
496.000	1.000	25.401390
497.000	1.000	25.405390
498.000	1.000	25.405390
499.000	1.000	25.407196
500.000	1.000	25.409279
501.000	1.000	25.409279
502.000	1.000	25.409279
503.000	1.000	25.409847
504.000	1.000	25.415451
505.000	1.000	25.418949
506.000	1.000	25.418949
507.000	1.000	25.419464
508.000	1.000	25.371542
509.000	1.000	25.377720
510.000	1.000	25.377720
511.000	1.000	25.383430
512.000	1.000	25.390360
513.000	1.000	25.392717
514.000	1.000	25.392717
515.000	1.000	25.392717
516.000	1.000	25.396030
517.000	1.000	25.405910
518.000	1.000	25.412914
519.000	1.000	25.412914
520.000	1.000	25.453558
521.000	1.000	25.450754
522.000	1.000	25.450754
523.000	1.000	25.450739
524.000	1.000	25.456875
525.000	1.000	25.451677
526.000	1.000	25.451677
527.000	1.000	25.451677
528.000	1.000	25.455988
529.000	1.000	25.465389
530.000	1.000	25.476002
531.000	1.000	25.476002
532.000	1.000	25.457611
533.000	1.000	25.464285
534.000	1.000	25.470198
535.000	1.000	25.470198
536.000	1.000	25.474361
537.000	1.000	25.474361
538.000	1.000	25.477917
539.000	1.000	25.477917
540.000	1.000	25.483353
541.000	1.000	25.484789
542.000	1.000	25.482004
543.000	1.000	25.482004
544.000	1.000	25.483978
545.000	1.000	25.540171
546.000	1.000	25.541628
547.000	1.000	25.541628
548.000	1.000	25.544500
549.000	1.000	25.544500
550.000	1.000	25.547340
551.000	1.000	25.551188
552.000	1.000	25.551188
553.000	1.000	25.553640
554.000	1.000	25.551487
555.000	1.000	25.555206
556.000	1.000	25.555206
557.000	1.000	25.526411
558.000	1.000	25.527107
559.000	1.000	25.527107
560.000	1.000	25.534538
561.000	1.000	25.534538
562.000	1.000	25.537670
563.000	1.000	25.537132
564.000	1.000	25.537132
565.000	1.000	25.541777
566.000	1.000	25.535751
567.000	1.000	25.536690
568.000	1.000	25.536690
569.000	1.000	25.553577
570.000	1.000	25.563400
