TIME	INTERVALO	Temp Tanque 2
361.000	1.000	26.538956
362.000	1.000	26.547405
363.000	1.000	26.547405
364.000	1.000	26.545399
365.000	1.000	26.545399
366.000	1.000	26.551807
367.000	1.000	26.550037
368.000	1.000	26.547258
369.000	1.000	26.547258
370.000	1.000	26.547316
371.000	1.000	26.520926
372.000	1.000	26.525175
373.000	1.000	26.525175
374.000	1.000	26.527273
375.000	1.000	26.527273
376.000	1.000	26.528231
377.000	1.000	26.528231
378.000	1.000	26.533365
379.000	1.000	26.535263
380.000	1.000	26.530588
381.000	1.000	26.530588
382.000	1.000	26.531324
383.000	1.000	26.535740
384.000	1.000	26.599901
385.000	1.000	26.599901
386.000	1.000	26.604191
387.000	1.000	26.604191
388.000	1.000	26.602480
389.000	1.000	26.604301
390.000	1.000	26.604301
391.000	1.000	26.605310
392.000	1.000	26.601801
393.000	1.000	26.601801
394.000	1.000	26.603308
395.000	1.000	26.609013
396.000	1.000	26.591476
397.000	1.000	26.591476
398.000	1.000	26.591476
399.000	1.000	26.596170
400.000	1.000	26.595194
401.000	1.000	26.593376
402.000	1.000	26.593376
403.000	1.000	26.589876
404.000	1.000	26.589048
405.000	1.000	26.583395
406.000	1.000	26.583395
407.000	1.000	26.590466
408.000	1.000	26.617369
409.000	1.000	26.617369
410.000	1.000	26.617369
411.000	1.000	26.610762
412.000	1.000	26.609972
413.000	1.000	26.614481
414.000	1.000	26.614481
415.000	1.000	26.610157
416.000	1.000	26.612696
417.000	1.000	26.610506
418.000	1.000	26.610506
419.000	1.000	26.615936
420.000	1.000	26.592600
421.000	1.000	26.585037
422.000	1.000	26.585037
423.000	1.000	26.585037
424.000	1.000	26.591789
425.000	1.000	26.595142
426.000	1.000	26.585848
427.000	1.000	26.585848
428.000	1.000	26.587925
429.000	1.000	26.588531
430.000	1.000	26.584816
431.000	1.000	26.584816
432.000	1.000	26.589676
433.000	1.000	26.589676
434.000	1.000	26.587872
435.000	1.000	26.587872
436.000	1.000	26.588844
437.000	1.000	26.589527
438.000	1.000	26.588621
439.000	1.000	26.588621
440.000	1.000	26.592455
441.000	1.000	26.581446
442.000	1.000	26.586306
443.000	1.000	26.586306
444.000	1.000	26.566345
445.000	1.000	26.566345
446.000	1.000	26.558411
